,course_id,user_id,username,module,numQuizzesAvailable,numQuizzesCompleted,quizTimeliness,numVidRewatches,numVidUniqueWatched,numVidUnique,numUniqueThreads,numUniquePosts,numPostViewed
0,8dKnrCcZ,629262,TBIHJWRW,1,3,1,57.65812449932,1,4,18,0.0,0.0,14.0
1,8dKnrCcZ,629262,TBIHJWRW,2,2,1,116.87659498372922,7,8,19,0.0,0.0,14.0
2,8dKnrCcZ,629262,TBIHJWRW,3,3,1,1.411963611553,1,1,2,1.0,1.0,13.0
3,8dKnrCcZ,629262,TBIHJWRW,4,1,1,29.25916318478744,12,15,18,1.0,1.0,13.0
4,8dKnrCcZ,629262,TBIHJWRW,5,4,4,4.83436464622,6,9,14,1.0,1.0,15.0
5,8dKnrCcZ,629262,TBIHJWRW,6,1,1,62.31119887864481,1,11,20,0.0,0.0,10.0
6,8dKnrCcZ,629262,TBIHJWRW,7,1,0,0.0,4,4,18,0.0,0.0,4.0
7,8dKnrCcZ,1183938,HTZPQCMU,1,3,1,59.32987528567173,16,18,18,0.0,0.0,11.0
8,8dKnrCcZ,1183938,HTZPQCMU,2,2,0,0.0,1,5,19,0.0,0.0,15.0
9,8dKnrCcZ,1183938,HTZPQCMU,3,3,3,47.73865435791125,1,1,2,0.0,0.0,9.0
10,8dKnrCcZ,1183938,HTZPQCMU,4,1,0,0.0,1,5,18,0.0,0.0,8.0
11,8dKnrCcZ,1183938,HTZPQCMU,5,4,2,32.36618826394943,1,5,14,0.0,0.0,7.0
12,8dKnrCcZ,1183938,HTZPQCMU,6,1,0,0.0,1,2,20,0.0,0.0,8.0
13,8dKnrCcZ,1183938,HTZPQCMU,7,1,1,92.84837464359535,2,13,18,0.0,0.0,11.0
14,8dKnrCcZ,1732961,BVSDSFNM,1,3,2,82.43181461811778,15,16,18,0.0,0.0,14.0
15,8dKnrCcZ,1732961,BVSDSFNM,2,2,1,12.765679119951,1,1,19,1.0,1.0,14.0
